title	link	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
article text: "MELVILLE N.Y.--(BUSINESS WIRE)--In celebration of Earth Day 2023 Henry Schein Inc. (Nasdaq: HSIC) today announced the launch of Practic	article text: "MELVILLE N.Y.--(BUSINESS WIRE)--In celebration of Earth Day 2023 Henry Schein Inc. (Nasdaq: HSIC) today announced the launch of Practic	TRUE. The article describes the launch of Practice Green, a global initiative designed to encourage health care practitioners to become more eco-friendly, which contributes to environmental sustainability goals.	TRUE. The article describes the launch of Practice Green, a new or improved product or business process that differs significantly from the firm's previous products or business processes.	FALSE. The article does not describe a specific product, but rather a global initiative and a curated collection of dental products selected by Henry Schein as 'green' based on supplier partner product information.	TRUE. The article describes a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability, such as carbon neutral shipping and reducing landfill waste.	Henry Schein, Inc.	Henry Schein, Inc.	Practice Green	Likely NAICS Codes: 339112 (Dental Laboratories) and 621498 (All Other Outpatient Care Centers)	I do not think the article text is an example of greenwashing. The article provides specific details about the company's efforts to reduce its environmental impact, such as implementing carbon neutral shipping and reducing landfill waste, and describes the company's commitment to environmental sustainability.
article text: "A-C D-F G-I J-L M-O P-R S-U V-X Y-Z Ensuring the health of people the planet and even businesses rests on more sustainable practices wh	article text: "A-C D-F G-I J-L M-O P-R S-U V-X Y-Z Ensuring the health of people the planet and even businesses rests on more sustainable practices wh	FALSE	FALSE	FALSE	FALSE	company not identified	N/A	product or process not identified	N/A	TRUE (The article text does not describe a specific product or process, but rather provides general information about sustainability and ESG concepts. The text does not provide any information about a new or improved product or business process that differs significantly from the firm's previous products or business processes.)
article text: "Maud Borup start­ed in 1907 when its namesake owner began to make can­dy in her St. Paul home using orig­i­nal recipes high-qual­i­ty i	article text: "Maud Borup start­ed in 1907 when its namesake owner began to make can­dy in her St. Paul home using orig­i­nal recipes high-qual­i­ty i	TRUE	TRUE	FALSE	TRUE	Maud Borup	Maud Borup	Not identified	Likely NAICS Codes: 311340 (Chocolate and Confectionery Manufacturing) and 424490 (Other Grocery and Related Product Wholesalers)	FALSE
article text: "Financing advances R&D of natural herbicide portfolio and herbicide-tolerant row crop systems RESEARCH TRIANGLE PARK N.C. April 18 2023	article text: "Financing advances R&D of natural herbicide portfolio and herbicide-tolerant row crop systems RESEARCH TRIANGLE PARK N.C. April 18 2023	FALSE. The article does not describe a product or process that contributes to environmental sustainability goals.	TRUE. The article describes a new or improved product or business process (R&D of natural herbicide portfolio and herbicide-tolerant row crop systems) that differs significantly from the firm's previous products or business processes.	FALSE. The article does not describe a product that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	TRUE. The article describes a process (R&D of natural herbicide portfolio and herbicide-tolerant row crop systems) that minimizes environmental impacts and promotes sustainability.	Harpe Bioherbicide Solutions, Inc.	Harpe Bioherbicide Solutions	natural herbicide portfolio and herbicide-tolerant row crop systems	Likely NAICS Codes: 111998 (All Other Miscellaneous Crop Farming) and 325320 (Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing)	FALSE. The article does not contain any deceptive marketing tactics or misleading statements about the environmental benefits of the product or process.
article text: "EU Green Deal environmental commitments require farmers across the EU to make significant changes in how they work – from reducing thei	article text: "EU Green Deal environmental commitments require farmers across the EU to make significant changes in how they work – from reducing thei	TRUE	TRUE	FALSE	TRUE	company not identified	N/A	N/A	Likely NAICS Codes: 111998 (Soil Preparation Services) and 92499 (Environmental Consulting Services)	FALSE
article text: "Eco-conscious entrepreneurs in Singapore share with us simple sustainable steps we can take to help save the planet. Even the small win	article text: "Eco-conscious entrepreneurs in Singapore share with us simple sustainable steps we can take to help save the planet. Even the small win	TRUE. The article describes several simple, sustainable steps that can be taken to help save the planet, including using reusable products, reducing paper use, and making small changes to daily habits.		TRUE. The article mentions various products and services that are designed to be environmentally friendly, such as period underwear, reusable containers, and eco-friendly cleaning products.	TRUE. The article discusses various green processes, such as composting, using reusable bags, and making natural floor cleaners.	company not identified	N/A	product or process not identified	Likely NAICS Codes: 813410 (Environmental Organizations) and 541690 (Other Scientific and Technical Services)	FALSE. The article appears to be a genuine attempt to promote sustainable living and reduce environmental impact, rather than a marketing tactic intended to deceive consumers.
article text: "Top 10 Luxury Watch Brands in India: How to Make the Right Choice Did you know that Sylvester Stallone the legendary Hollywood action s	article text: "Top 10 Luxury Watch Brands in India: How to Make the Right Choice Did you know that Sylvester Stallone the legendary Hollywood action s	FALSE, The article does not describe an innovation that contributes to environmental sustainability goals.	TRUE, The article describes new or improved products or business processes that differ significantly from the firm's previous products or business processes.	FALSE, The article does not describe a good or service that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.		company not identified	Not applicable	product or process not identified	Likely NAICS Codes: 339112 (Jewelry and Silverware Manufacturing) or 333319 (Other Industrial Machinery Manufacturing)	I do not think the article text is an example of greenwashing. The article appears to be a genuine description of luxury watch brands and their features, without any misleading or deceptive claims about their environmental benefits.
article text: "INTRODUCTION Agriculture in the United States has grown significantly over the past decade with companies investing in technology resea	article text: "INTRODUCTION Agriculture in the United States has grown significantly over the past decade with companies investing in technology resea	TRUE. The article discusses various innovations in the agriculture industry, including precision agriculture, automation, genetic engineering, and sustainable practices. These innovations aim to increase efficiency, reduce costs, and promote environmental sustainability.	TRUE. The article describes new products and services, such as genetically modified crops, precision agriculture systems, and digital farming solutions, which differ significantly from previous products and services in the agriculture industry.	FALSE. The article does not discuss a specific product that meets the definition of a green product. Instead, it discusses various innovations and technologies that can contribute to environmental sustainability.	TRUE. The article mentions various green processes, such as reducing water and energy use, minimizing waste, and enhancing soil health, which are designed to minimize environmental impacts and promote sustainability.	Cargill, Archer Daniels Midland, Tyson Foods, Pilgrim's Pride, Monsanto, Syngenta, Deere & Company, AGCO Corporation, Kubota, DowAgroSciences, BASF, DuPont, Land O'Lakes, KWS SAAT AG	The official company names are:	Various agricultural innovations and technologies are mentioned, including precision agriculture, automation, genetic engineering, and sustainable practices.	Likely NAICS Codes: 111110, 115112	I do not think the article text is an example of greenwashing. The article provides factual information about various innovations and technologies in the agriculture industry, without making exaggerated or misleading claims about their environmental benefits.
article text: "INTRODUCTION Dairy farming has been an essential part of the U.S. agricultural economy for centuries and in 2023 the industry is poised	article text: "INTRODUCTION Dairy farming has been an essential part of the U.S. agricultural economy for centuries and in 2023 the industry is poised	FALSE (The article does not describe a new or improved product or business process that differs significantly from the firm's previous products or business processes and that has been introduced on the market or brought into use by the firm.)	FALSE (The article does not describe a new or improved product or business process that differs significantly from the firm's previous products or business processes and that has been introduced on the market or brought into use by the firm.)	FALSE (The article does not describe a product that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.)	FALSE (The article does not describe a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.)	Land O'Lakes, Cargill Dairy Solutions, Dean Foods, DFA, AMPI, Saputo Dairy Products USA, California Dairies, Inc., HP Hood LLC, Hilmar Cheese Company, Prairie Farms Dairy	- Land O'Lakes: Land O'Lakes, Inc.	product not identified	Likely NAICS Codes: 311514, 311513	FALSE (The article appears to provide a factual overview of the dairy industry and its companies, without making exaggerated or misleading claims about the environmental benefits of their products or processes.)
article text: "The textile industry is an essential part of the global economy and plays a crucial role in many people’s lives. The industry involves 	article text: "The textile industry is an essential part of the global economy and plays a crucial role in many people’s lives. The industry involves 	TRUE	TRUE	TRUE	TRUE	Various companies are identified in the article, including Lenzing AG, Worn Again Technologies, Klopman International, Albini Group, Schoeller Textil AG, Borges International Group, Marzotto Group, Gebrüder Otto, ITV Denkendorf Produktservice GmbH, and Holland & Sherry.	Lenzing AG - Lenzing AG (officially known as Lenzing AG, a leading manufacturer of wood-based fibers and sustainable textiles)	Various products and processes are identified in the article, including fibers made from recycled polyester and organic cotton, fabrics that are biodegradable or easily recyclable at the end of their life cycle, and recycling old clothing and other textiles.	Likely NAICS Codes: 313310 (Textile Mills) and 325199 (Other Chemical Product and Preparation Manufacturing)	FALSE
article text: "INTRODUCTION The food and beverage industry in the United States has seen tremendous growth in the last decade. As of 2023 some of the 	article text: "INTRODUCTION The food and beverage industry in the United States has seen tremendous growth in the last decade. As of 2023 some of the 	TRUE	TRUE	FALSE	FALSE	company not identified	N/A	product or process not identified	Likely NAICS Codes: 3114 (Food Manufacturing) and 3121 (Breweries)	FALSE
article text: "India has a rich tradition of leather craftsmanship and the country is renowned for producing high-quality leather products that are so	article text: "India has a rich tradition of leather craftsmanship and the country is renowned for producing high-quality leather products that are so	FALSE - This article does not describe a new or improved product or business process that differs significantly from the firm's previous products or business processes.	TRUE - The article describes the top 20 best leather product manufacturing companies in India, showcasing their commitment to quality, sustainability, and innovation.	TRUE - The article describes leather products that are designed, manufactured, and used in a way that significantly reduces their environmental impact throughout their life cycle.	FALSE - The article does not describe a specific method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	Hidesign, Woodland, Da Milano, Baggit, Bata India, Fossil India, Caprese, Lavie, Louis Philippe, Pavers England, Wildcraft, Red Tape, Clarks India, Van Heusen, Allen Solly, Metro Shoes, Lee Cooper, Alberto Torresi, Liberty Shoes, Mochi,... (company not identified)	Hidesign (officially known as Hidesign India Pvt. Ltd.), Woodland (officially known as Woodland Ltd.), Da Milano (officially known as Da Milano India Pvt. Ltd.), Baggit (officially known as Baggit Ltd.), Bata India (officially known as Bata India Ltd.), Fossil India (officially known as Fossil India Pvt. Ltd.), Caprese (officially known as Caprese India Pvt. Ltd.), Lavie (officially known as Lavie India Pvt. Ltd.), Louis Philippe (officially known as Louis Philippe India Pvt. Ltd.), Pavers England (officially known as Pavers England Ltd.), Wildcraft (officially known as Wildcraft India Pvt. Ltd.), Red Tape (officially known as Red Tape Ltd.), Clarks India (officially known as Clarks India Pvt. Ltd.), Van Heusen (officially known as Van Heusen India Pvt. Ltd.), Allen Solly (officially known as Allen Solly India Pvt. Ltd.), Metro Shoes (officially known as Metro Shoes Ltd.), Lee Cooper (officially known as Lee Cooper India Pvt. Ltd.), Alberto Torresi (officially known as Alberto Torresi India Pvt. Ltd.), Liberty Shoes (officially known as Liberty Shoes Ltd.), Mochi (officially known as Mochi India Pvt. Ltd.).	Leather products, leather goods, shoes, bags, belts, wallets, jackets, boots, handbags, wallets, cardholders, belts, backpacks, messenger bags, briefcases, belts, watches, sandals, boots, etc.	Likely NAICS Codes: 315230 (Textile and Fabric Finishing and Fabric Coating Mills) and 424330 (Footwear Merchant Wholesalers)	I do not think the article text describing the product or process innovation is an example of greenwashing. The article highlights the companies' commitment to sustainability, eco-friendliness, and environmental responsibility, which suggests a genuine effort to reduce their environmental impact.
article text: "Fishing companies play a crucial role in the global economy and food supply chain. They are responsible for catching processing and dis	article text: "Fishing companies play a crucial role in the global economy and food supply chain. They are responsible for catching processing and dis	FALSE. The article does not describe a new or improved product or business process that differs significantly from the firm's previous products or business processes.	TRUE. The article describes the top 10 fishing companies in Europe, which can be considered as a new or improved product or business process that differs significantly from the firm's previous products or business processes.	FALSE. The article does not describe a specific product that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	FALSE. The article does not describe a specific process that minimizes environmental impacts and promotes sustainability.	Marine Harvest, Pescanova, Bakkafrost, Grieg Seafood, Marine Harvest Scotland, Royal Greenland, Lerøy Seafood Group, Austevoll Seafood, Sirena Group, Nueva Pescanova	Marine Harvest ASA, Pescanova Group, Bakkafrost, Grieg Seafood ASA, Marine Harvest Scotland Ltd, Royal Greenland A/S, Lerøy Seafood Group, Austevoll Seafood AS, Sirena Group, Nueva Pescanova Group	Not identified	Likely NAICS Codes: 113310 (Seafood Product Preparation and Packaging) and 114111 (Fishing and Seafood Companies)	FALSE. The article provides detailed information about the companies' sustainability initiatives, such as using sustainable feed, reducing carbon footprint, and implementing eco-friendly packaging materials, which suggests that the companies are genuinely committed to environmental sustainability.
article text: "Food processing companies in Europe play a crucial role in ensuring that the continent’s population has access to a diverse and afforda	article text: "Food processing companies in Europe play a crucial role in ensuring that the continent’s population has access to a diverse and afforda	FALSE - The article does not describe a new or improved product or business process that differs significantly from the firm's previous products or business processes and that has been introduced on the market or brought into use by the firm.	FALSE - The article does not describe a new or improved product or business process that differs significantly from the firm's previous products or business processes and that has been introduced on the market or brought into use by the firm.	FALSE - The article does not describe a good or service that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	FALSE - The article does not describe a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	Company not identified	N/A	Product or process not identified	Likely NAICS Codes: 311911 (Bread and Bakery Products Manufacturing) and 311920 (Confectionery and Nut Processing)	TRUE - The article appears to be an example of greenwashing as it describes the companies' efforts to reduce their environmental impact and promote sustainability, but does not provide specific details or evidence to support these claims. The article also focuses on the companies' brand recognition and market share, which may be a marketing tactic to appeal to environmentally conscious consumers.
article text: "Rotometal a producer of magnetic and print cylinders for printing machines has introduced aluminum magnetic cylinders. According to Rot	article text: "Rotometal a producer of magnetic and print cylinders for printing machines has introduced aluminum magnetic cylinders. According to Rot	FALSE	TRUE	TRUE	TRUE	Rotometal	Rotometal	Aluminum magnetic cylinders	Likely NAICS Codes: 332212, 333322	FALSE
article text: "SW-Motech is one of the most popular brands when it comes to moto-specific luggage and aftermarket accessories designed for protection.	article text: "SW-Motech is one of the most popular brands when it comes to moto-specific luggage and aftermarket accessories designed for protection.	TRUE	TRUE	TRUE	FALSE	SW-Motech	SW-Motech	SW-Motech's new accessories for the Ducati DesertX	Likely NAICS Codes: 339112 (Motor Vehicle Parts (OEM and Aftermarket)), 332212 (Motor Vehicle Body and Trailer Manufacturing)	FALSE
article text: "Companies committed to making alternative energy sources more widely available are becoming more significant and well-known as the worl	article text: "Companies committed to making alternative energy sources more widely available are becoming more significant and well-known as the worl	TRUE. The article discusses the development and use of alternative energy sources, which contributes to environmental sustainability goals.	TRUE. The article describes the development and use of new renewable energy technologies and companies, which is a new or improved product or business process that differs significantly from the firm's previous products or business processes.	FALSE. The article does not describe a specific product, but rather discusses the development and use of renewable energy sources and technologies.	TRUE. The article describes the development and use of renewable energy sources, which involves a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	Company not identified	Not available	Product or process not identified	Likely NAICS Codes: 541712 (Renewable Energy and Solar Power Services) and 325182 (Solar Panel Manufacturing)	I do not think the article text is an example of greenwashing. The article provides factual information about the companies and technologies being discussed, and does not make any unsubstantiated or exaggerated claims about their environmental benefits.
article text: "United Tallgrass and Green Plains will invest up to a combined $50 million in the joint venture – Blue Blade Energy – to develop the te	article text: "United Tallgrass and Green Plains will invest up to a combined $50 million in the joint venture – Blue Blade Energy – to develop the te	TRUE. The article describes a joint venture to develop a novel Sustainable Aviation Fuel (SAF) technology that uses ethanol as its feedstock, which is a green innovation.	TRUE. The article describes a new joint venture between United Airlines, Tallgrass, and Green Plains to develop and commercialize a novel SAF technology, which is a business innovation.	TRUE. The article describes a sustainable aviation fuel (SAF) product that is designed to reduce carbon emissions and is produced from ethanol, which is a green product.	TRUE. The article describes a green process of producing sustainable aviation fuel (SAF) from ethanol, which minimizes environmental impacts and promotes sustainability.	United Airlines, Tallgrass, and Green Plains	United Airlines Holdings, Inc., Tallgrass Energy, LLC, and Green Plains Inc.	Sustainable Aviation Fuel (SAF) technology	Likely NAICS Codes: 488119 - Other Airport and Airway Facilities and 325199 - Other Chemical Manufacturing	FALSE. The article appears to be a genuine announcement of a joint venture and its goals, and does not contain any language that suggests greenwashing.
article text: "Berlin-based Enpal one of the fastest-growing companies in Europe’s energy sector at the moment has just revealed it is set to pick up 	article text: "Berlin-based Enpal one of the fastest-growing companies in Europe’s energy sector at the moment has just revealed it is set to pick up 	TRUE, The article describes a green innovation because it is an innovation that contributes to environmental sustainability goals by accelerating the energy transition with accessible solar technology.	TRUE, The article describes a business innovation because it is a new or improved product or business process (or combination thereof) that differs significantly from the firm's previous products or business processes and that has been introduced on the market or brought into use by the firm.	TRUE, The article describes a green product because it is a good or service that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	TRUE, The article describes a green process because it is a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	Enpal	Enpal GmbH	solar technology	Likely NAICS Codes: 221114 - Electric Power Generation, Transmission and Distribution; 512291 - Solar Panel Manufacturing	FALSE, I do not think the article text is an example of greenwashing because the text provides specific details about the company's mission, products, and processes, and does not make unsubstantiated or exaggerated claims about its environmental benefits.
article text: "✕ In the past heat pumps were typically installed in single-residence homes but nowadays the technology has evolved and can be used in 	article text: "✕ In the past heat pumps were typically installed in single-residence homes but nowadays the technology has evolved and can be used in 	TRUE. The article discusses the evolution of heat pumps in multifamily homes, which is a green innovation as it contributes to environmental sustainability goals by reducing the use of fossil fuels and promoting the use of more sustainable energy sources.	TRUE. The article discusses the development of new heat pump technologies, such as packaged window heat pumps, and the challenges of installing these technologies in multifamily homes, which is a business innovation as it involves the introduction of new products and processes.	TRUE. The article discusses the development of green products, such as heat pumps, which are designed to reduce environmental impact throughout their life cycle and promote sustainability.	TRUE. The article discusses the development of green processes, such as the use of heat pumps in multifamily homes, which aim to reduce waste, conserve natural resources, and limit the release of harmful substances into the environment.	Johnson Controls, Mitsubishi Electric Trane HVAC US (METUS), Midea America, New York City Housing Authority (NYCHA), New York Power Authority (NYPA), New York State Energy Research and Development Authority (NYSERDA)	Johnson Controls, Mitsubishi Electric Trane HVAC US, Midea America, NYCHA, NYPA, NYSERDA	Heat pumps, packaged window heat pumps, variable refrigerant flow (VRF), mini-split systems, Green Lease program, Cold Climate Heat Pump Challenge	Likely NAICS Codes: 334310 (HVAC and Commercial and Industrial Machinery and Equipment Merchant Wholesalers) and 541330 (Engineering Services)	I do not think the article text is an example of greenwashing. The article discusses the development of new heat pump technologies and the challenges of installing these technologies in multifamily homes, and provides specific details about the benefits and challenges of these technologies. The article does not make exaggerated or unsubstantiated claims about the environmental benefits of these technologies.
article text: "The State of Maharashtra India Partners with Gogoro & Belrise Industries on $2.5 billion Battery Swapping Infrastructure Post this The 	article text: "The State of Maharashtra India Partners with Gogoro & Belrise Industries on $2.5 billion Battery Swapping Infrastructure Post this The 	TRUE. This is a green innovation because it involves the development of a new smart energy infrastructure that is open and accessible, and establishes battery swapping and smart battery stations as a leading source for mobility and energy storage. This innovation aims to reduce environmental impacts and promote sustainability.	TRUE. This is a business innovation because it involves the development of a new product or business process (the smart energy infrastructure) that differs significantly from the firm's previous products or business processes and has been introduced on the market or brought into use by the firm.	FALSE. This is not a green product because it does not specifically describe a good or service that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	TRUE. This is a green process because it involves the deployment of a new generation of distributed smart energy infrastructure that is optimized for swappable battery refueling and architected for intelligent bidirectional demand response and energy storage, which aims to reduce waste, conserve natural resources, and decrease energy consumption.	Gogoro and Belrise Industries	Gogoro Inc. and Belrise Industries Pvt. Ltd.	Smart energy infrastructure, battery swapping, and smart battery stations	Likely NAICS Codes: 335911 (Electric Power Generation, Transmission and Distribution) and 541512 (Computer Systems Design Services)	I do not think the article text is an example of greenwashing. The text provides specific details about the innovation and its benefits, and does not make exaggerated or misleading claims about its environmental impact.
